SetID,SetType,Time,Chan,Status,Thr,Amp,RiseT,Dur,Eny,RMS,Counts,TRAI,CHits,PA0,PA1
216017,2,14838.3893756,3,0,11.3694478249001,14.8885626278454,0.85,4.8,0.156014148875152,2.41805329715611,2,94877,1,,
217179,2,14927.97893095,3,0,11.3694478249001,43.8535844674718,1.1,47.8,0.937878765777716,2.40740889526107,15,95375,1,,
224102,2,15425.54088195,3,0,11.3694478249001,22.197493372424,8.85,29.45,0.244098566036825,2.4162792301736,5,98375,1,,
224123,2,15427.5426317,3,0,11.3694478249001,12.1815512409644,18.3,18.45,0.0845083967651057,2.40740889526107,2,98383,1,,
225921,2,15558.0032502,3,0,11.3694478249001,28.4236195622503,1,33.45,0.438150433507266,2.40563482827857,6,99161,1,,
226620,2,15610.8210062,3,0,11.3694478249001,19.7611831242311,1.15,26.15,0.239997867237811,2.4162792301736,3,99465,1,,
226763,2,15620.6195265,3,0,11.3694478249001,58.7421470953172,1.75,108.05,1.96966030977218,2.41273109620859,29,99528,1,,
227876,2,15695.82890335,3,0,11.3694478249001,19.2197808468549,3,23.65,0.222513472430005,2.41273109620859,4,100021,1,,
228522,2,15742.418958,3,0,11.3694478249001,31.9427343651955,3.7,30.15,0.359246422806289,2.4162792301736,6,100301,1,,
229676,2,15826.07158975,3,0,11.3694478249001,12.4522523796525,0.1,39.25,0.106254704406198,2.41095702922609,2,100799,1,,
230751,2,15902.2285745,3,0,11.3694478249001,31.6720332265074,1.15,12.8,0.30764620718238,2.4145051631911,5,101266,1,,
231012,2,15921.37651945,3,0,11.3694478249001,12.9936546570287,0.1,31,0.0959604555268991,2.40563482827857,2,101380,1,,
231103,2,15929.2402894,3,0,11.3694478249001,151.051235387959,2.7,231.5,9.42782310467402,2.41095702922609,46,101417,1,,
233832,2,16116.6228737,3,0,11.3694478249001,97.4524099277152,119.95,1678.6,32.5832615830332,2.41982736413862,303,102607,1,,
234997,2,16199.86947125,3,0,11.3694478249001,18.9490797081668,100.45,290.4,0.961292905882453,2.41805329715611,17,103119,1,,
237667,2,16402.50517735,3,0,11.3694478249001,56.3058368471243,0.95,136.15,1.81427929237707,2.42869769905115,21,104255,1,,
238004,2,16426.98535525,3,0,11.3694478249001,141.576695533875,10.45,984.25,38.4699598016491,2.41095702922609,243,104402,1,,
239829,2,16556.9671574,3,0,11.3694478249001,18.9490797081668,4.05,21.15,0.241545521966817,2.41805329715611,4,105196,1,,
240708,2,16619.51694135,3,0,11.3694478249001,475.3511995363,4.2,677.95,84.3509815197145,2.41805329715611,176,105577,1,,
240994,2,16639.3196819,3,0,11.3694478249001,481.306624587438,78.05,1959.55,290.204173560452,2.42160143112112,344,105701,1,,
245364,2,16960.9644953,3,0,11.3694478249001,43.8535844674718,3.85,92.55,0.904542634654635,2.4145051631911,15,107587,1,,
247634,2,17131.09237515,3,0,11.3694478249001,12.7229535183406,54.1,54.25,0.11714984195869,2.41982736413862,2,108560,1,,
249523,2,17279.2656619,3,0,11.3694478249001,37.0860560002694,4.3,641.05,4.68900984637059,2.41982736413862,92,109364,1,,
250889,2,17380.6428437,3,0,11.3694478249001,20.0318842629192,6.8,199.95,0.761434402013979,2.40563482827857,11,109959,1,,
251537,2,17429.8764298,3,0,11.3694478249001,61.4491584821982,3.3,244.85,2.59880540642724,2.4145051631911,29,110241,1,,
251538,2,17429.87895455,3,0,11.3694478249001,82.2931461611817,14.2,334.6,5.68015079790734,2.4145051631911,57,110242,1,,
253322,2,17559.8176037,3,0,11.3694478249001,351.911480294527,3.25,519.65,59.9990329971423,2.41095702922609,118,111012,1,,
254936,2,17681.7009283,3,0,11.3694478249001,23.0095967884883,0.85,21.3,0.25678464495186,2.40918296224358,5,111704,1,,
257204,2,17854.868219,3,0,11.3694478249001,48.9969061025457,1.8,78.7,1.20552630547521,2.4162792301736,16,112670,1,,
260994,2,18141.7745125,3,0,11.3694478249001,528.950024996543,6.2,737.55,120.656100645881,2.41095702922609,143,114308,1,,
261604,2,18189.01441365,3,0,11.3694478249001,83.9173529933103,1.5,152.35,2.7308455628241,2.42160143112112,26,114571,1,,
262580,2,18266.07997805,3,0,11.3694478249001,11.9108501022763,29.8,29.85,0.0848132378480917,2.41273109620859,2,114985,1,,
264393,2,18401.0100351,3,0,11.3694478249001,489.698359886769,3.55,506.35,123.344423808793,2.41982736413862,138,115765,1,,
274823,2,19161.3852284,3,0,11.3694478249001,16.2420683212859,69.05,488.65,1.47122755210442,2.42160143112112,18,120297,1,,
274824,2,19161.3858686,3,0,11.3694478249001,12.1815512409644,0.1,31.55,0.199899540168106,2.42160143112112,2,120298,1,,
275983,2,19251.05811485,3,0,11.3694478249001,12.7229535183406,0.15,75.8,0.152021903153739,2.41982736413862,2,120795,1,,
276654,2,19298.60117675,3,0,11.3694478249001,48.9969061025457,2.65,138.05,1.43005055658722,2.4162792301736,31,121084,1,,
281314,2,19646.24252245,3,0,11.3694478249001,43.5828833287837,86.65,474.45,5.7951110601642,2.40740889526107,71,123098,1,,
281797,2,19681.32096365,3,0,11.3694478249001,118.567098745387,2.75,433.55,13.2999409212412,2.40918296224358,124,123307,1,,
283570,2,19811.75033335,3,0,11.3694478249001,18.9490797081668,203,232.5,1.00514898553281,2.42337549810363,19,124069,1,,
284069,2,19846.95617855,3,0,11.3694478249001,46.8312969930409,2.6,152.45,1.47903031136316,2.42337549810363,29,124288,1,,
285603,2,19962.5096843,3,0,11.3694478249001,14.0764592117811,0.2,6,0.104707049677191,2.42337549810363,2,124949,1,,
285657,2,19967.22873225,3,0,11.3694478249001,26.7994127301217,1.1,44.9,0.291932235587301,2.41273109620859,3,124971,1,,
289270,2,20241.17005005,3,0,11.3694478249001,16.2420683212859,0.25,107.8,0.431279784483042,2.40918296224358,5,126535,1,,
290717,2,20344.63657095,3,0,11.3694478249001,277.197966016612,15.9,462.9,37.4354229632508,2.41095702922609,155,127165,1,,
291457,2,20404.39291555,3,0,11.3694478249001,237.134197490774,23.85,601.7,38.2266731681122,2.4162792301736,107,127480,1,,
293935,2,20590.0873515,3,0,11.3694478249001,6274.85239479011,16.7,2360,29180.6055766231,2.41805329715611,623,128541,1,,
293936,2,20590.08986925,3,0,11.3694478249001,12.7229535183406,33.9,34.05,0.253815375557006,2.41805329715611,2,128542,1,,
294170,2,20605.05833995,3,0,11.3694478249001,12.7229535183406,0.1,9,0.0732732441585138,2.41095702922609,2,128648,1,,
296208,2,20758.15418385,3,0,11.3694478249001,12.1815512409644,16.7,16.9,0.0833447245540916,2.4162792301736,2,129519,1,,
302086,2,21189.63723015,3,0,11.3694478249001,43.8535844674718,1.15,139.55,0.946179822960567,2.4162792301736,14,132056,1,,
304519,2,21369.2925195,3,0,11.3694478249001,160.79647638073,23.8,1157.3,69.172404663615,2.41095702922609,223,133111,1,,
306409,2,21514.7378591,3,0,11.3694478249001,33.5669411973241,1.05,41.85,0.438168020492823,2.40386076129606,7,133918,1,,
311979,2,21925.6598625,3,0,11.3694478249001,27.8822172848741,1.95,82.5,0.358431559142153,2.40208669431355,6,136324,1,,
314110,2,22082.6878432,3,0,11.3694478249001,64.4268710077673,5,70.15,1.65169347323216,2.41095702922609,22,137238,1,,
316000,2,22221.06252535,3,0,11.3694478249001,149.156327417142,3.75,250.6,5.65033792622415,2.41805329715611,43,138058,1,,
319387,2,22479.2157032,3,0,11.3694478249001,273.949552352355,3.9,225.75,24.0020202709468,2.40740889526107,67,139504,1,,
321083,2,22605.4203455,3,0,11.3694478249001,12.9936546570287,58.7,58.85,0.141062279987538,2.41095702922609,2,140237,1,,
327263,2,23070.62980795,3,0,11.3694478249001,27.0701138688098,11.6,112.15,0.703804781508317,2.41273109620859,14,142878,1,,
330361,2,23315.5259069,3,0,11.3694478249001,18.4076774307907,8.45,44.95,0.204993903651085,2.41273109620859,2,144191,1,,
333991,2,23582.67745435,3,0,11.3694478249001,470.749280178602,14.35,456.95,87.6349172601529,2.41095702922609,115,145752,1,,
340258,2,24048.9396236,3,0,11.3694478249001,32.4841366425717,2,32,0.409199324116369,2.42514956508614,8,148465,1,,
340943,2,24099.13921155,3,0,11.3694478249001,46.0191935769766,1.25,64.45,1.02256010123413,2.40563482827857,11,148765,1,,
343402,2,24276.0084947,3,0,11.3694478249001,296.688448002155,2.85,832,76.7952050926434,2.41095702922609,203,149833,1,,
345691,2,24445.553665,3,0,11.3694478249001,50.8918140733624,2.3,48.35,0.758054769622797,2.41273109620859,13,150831,1,,
